2024-12-01 01:03:08,623 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-01 01:03:08,624 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Configure stats pid to 82156
2024-12-01 01:03:08,624 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Loading settings from C:\Users\junun\.config\wandb\settings
2024-12-01 01:03:08,624 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Loading settings from C:\Users\junun\documents\aiclass\wandb\settings
2024-12-01 01:03:08,624 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-01 01:03:08,624 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'C:\\Users\\junun\\documents\\aiclass\\main.py', 'program': 'C:\\Users\\junun\\documents\\aiclass\\main.py'}
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:_log_setup():533] Logging user logs to .\wandb\run-20241201_010308-6rpefn39\logs\debug.log
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:_log_setup():534] Logging internal logs to .\wandb\run-20241201_010308-6rpefn39\logs\debug-internal.log
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:init():619] calling init triggers
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:init():669] starting backend
2024-12-01 01:03:08,625 INFO    MainThread:82156 [wandb_init.py:init():673] sending inform_init request
2024-12-01 01:03:08,627 INFO    MainThread:82156 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-01 01:03:08,628 INFO    MainThread:82156 [wandb_init.py:init():686] backend started and connected
2024-12-01 01:03:08,631 INFO    MainThread:82156 [wandb_init.py:init():781] updated telemetry
2024-12-01 01:03:08,633 INFO    MainThread:82156 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-01 01:03:09,488 INFO    MainThread:82156 [wandb_init.py:init():867] starting run threads in backend
2024-12-01 01:03:09,668 INFO    MainThread:82156 [wandb_run.py:_console_start():2456] atexit reg
2024-12-01 01:03:09,668 INFO    MainThread:82156 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-01 01:03:09,668 INFO    MainThread:82156 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-01 01:03:09,668 INFO    MainThread:82156 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-01 01:03:09,671 INFO    MainThread:82156 [wandb_init.py:init():911] run started, returning control to user process
2024-12-01 01:17:24,247 WARNING MsgRouterThr:82156 [router.py:message_loop():75] message_loop has been closed
